,direction,label,score,face_counts,area_mm2,percentages,undercuts,principal_axis_alignment
0,"[0.23213, 0.356947, 0.904823]","(+0.232, +0.357, +0.905)",0.313198,"{'good': 310, 'marginal': 1, 'bad': 0}","{'bad': 0.0, 'marginal': 0.532, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.018, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': True, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.904823
1,"[0.211309, 0.365998, 0.906308]","(+0.211, +0.366, +0.906)",0.34812,"{'good': 309, 'marginal': 2, 'bad': 0}","{'bad': 0.0, 'marginal': 2.427, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.084, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': True, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.906308
2,"[0.19306, 0.379504, 0.904823]","(+0.193, +0.380, +0.905)",0.348491,"{'good': 309, 'marginal': 2, 'bad': 0}","{'bad': 0.0, 'marginal': 2.427, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.084, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': True, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.904823
3,"[0.18777, 0.384845, 0.90368]","(+0.188, +0.385, +0.904)",0.371574,"{'good': 308, 'marginal': 3, 'bad': 0}","{'bad': 0.0, 'marginal': 2.898, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.101, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': True, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.90368
4,"[0.218031, 0.362449, 0.906142]","(+0.218, +0.362, +0.906)",0.385136,"{'good': 309, 'marginal': 2, 'bad': 0}","{'bad': 0.0, 'marginal': 2.427, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.084, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': True, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.906142
5,"[0.224989, 0.359424, 0.905646]","(+0.225, +0.359, +0.906)",0.38526,"{'good': 309, 'marginal': 2, 'bad': 0}","{'bad': 0.0, 'marginal': 2.427, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.084, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': False, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.905646
6,"[0.326476, 0.453428, 0.829347]","(+0.326, +0.453, +0.829)",0.531572,"{'good': 309, 'marginal': 2, 'bad': 0}","{'bad': 0.0, 'marginal': 2.511, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.087, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': False, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.829347
7,"[0.310328, 0.477885, 0.82178]","(+0.310, +0.478, +0.822)",0.612729,"{'good': 307, 'marginal': 4, 'bad': 0}","{'bad': 0.0, 'marginal': 3.358, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.117, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': False, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.82178
8,"[0.286788, 0.496732, 0.819152]","(+0.287, +0.497, +0.819)",0.627797,"{'good': 307, 'marginal': 4, 'bad': 0}","{'bad': 0.0, 'marginal': 1.935, 'total': 2877.627}","{'bad_area_pct': 0.0, 'marginal_area_pct': 0.067, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': False, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.819152
9,"[0.251353, 0.509024, 0.823235]","(+0.251, +0.509, +0.823)",0.740687,"{'good': 308, 'marginal': 2, 'bad': 1}","{'bad': 0.471, 'marginal': 0.847, 'total': 2877.627}","{'bad_area_pct': 0.016, 'marginal_area_pct': 0.029, 'undercut_area_pct': 0.0}","{'face_count': 0, 'feature_count': 0, 'boolean_refined': False, 'boolean_checked_count': 0, 'interference_volume_mm3': 0}",0.823235
